item_id,value,w1,w2
1,634,373,425
2,810,676,13
3,766,943,244
4,736,72,164
5,1137,978,943
6,582,544,298
7,701,595,873
8,976,447,41
9,668,521,725
10,383,667,89
11,1047,831,162
12,923,968,737
13,926,590,917
14,657,189,991
15,966,818,829
16,620,601,403
17,966,835,550
18,667,774,622
19,674,289,208
20,764,773,893
21,891,661,168
22,697,62,810
23,696,772,298
24,555,67,262
25,934,820,94
26,710,304,356
27,622,117,297
28,429,343,190
29,813,321,329
30,642,770,674
31,594,756,571
32,1099,899,886
33,874,869,377
34,691,389,365
35,716,653,381
36,807,339,598
37,535,53,707
38,596,244,121
39,688,932,157
40,938,651,467
41,632,551,392
42,571,670,778
43,709,413,535
44,946,345,101
45,576,332,67
46,692,36,626
47,1088,821,610
48,405,337,345
49,694,139,904
50,1012,818,621
51,847,872,344
52,731,973,148
53,898,545,557
54,419,46,449
55,532,434,240
56,528,609,58
57,489,546,170
58,988,249,654
59,681,372,492
60,755,648,529
61,741,669,208
62,771,856,753
63,627,428,121
64,855,128,977
65,844,427,243
66,845,994,256
67,1095,939,794
68,670,589,479
69,245,6,199
70,620,199,189
71,753,188,234
72,1073,945,934
73,673,322,732
74,641,452,67
75,493,610,454
76,615,711,981
77,769,197,256
78,660,400,898
79,861,959,127
80,839,218,991
81,816,773,216
82,687,838,379
83,1062,523,744
84,750,336,821
85,737,998,871
86,649,657,897
87,1147,795,859
88,291,470,83
89,505,64,123
90,878,209,493
91,840,285,604
92,1027,906,397
93,824,34,738
94,808,824,360
95,710,205,171
96,449,274,527
97,790,216,335
98,770,483,855
99,820,329,594
100,839,576,47
101,965,61,940
102,833,960,112
103,802,676,74
104,654,162,636
105,790,682,415
106,761,116,70
107,475,397,302
108,579,963,738
109,715,922,109
110,436,394,414
111,770,197,524
112,507,276,476
113,891,163,863
114,204,90,63
115,952,547,103
116,646,480,897
117,549,541,806
118,906,448,340
119,776,751,518
120,812,153,850
121,871,791,303
122,754,863,138
123,998,529,682
124,542,30,209
125,760,598,727
126,941,473,600
127,1057,719,945
128,991,961,2
129,1081,989,557
130,637,72,560
131,899,672,526
132,779,778,262
133,1120,803,35
134,733,617,417
135,845,108,501
136,833,782,635
137,738,383,242
138,928,918,970
139,357,375,95
140,1021,957,844
141,902,300,456
142,655,272,7
143,561,369,266
144,418,190,362
145,538,780,43
146,1094,215,915
147,554,31,517
148,386,514,240
149,719,54,34
150,1109,809,953
151,1022,368,895
152,419,115,367
153,973,887,655
154,483,348,923
155,938,791,709
156,874,123,262
157,1020,834,31
158,1019,675,31
159,900,771,149
160,968,693,128
161,453,400,173
162,837,130,149
163,742,63,805
164,993,172,659
165,879,405,722
166,628,98,392
167,745,130,586
168,1071,700,419
169,959,688,301
170,653,338,791
171,494,623,250
172,644,116,187
173,1026,785,338
174,642,524,195
175,862,243,600
176,795,289,774
177,327,767,549
178,924,843,711
179,588,384,19
180,805,817,593
181,837,777,666
182,887,974,833
183,798,107,758
184,795,156,906
185,1076,720,484
186,774,486,26
187,853,847,837
188,929,859,500
189,619,110,177
190,780,142,135
191,676,632,804
192,891,317,665
193,989,850,39
194,680,15,468
195,779,455,975
196,484,997,422
197,639,638,754
198,682,169,478
199,916,793,953
200,720,158,509
201,630,375,345
202,656,545,326
203,692,542,654
204,798,826,766
205,734,122,771
206,737,549,188
207,645,521,327
208,1016,244,107
209,626,14,300
210,718,528,833
211,385,29,504
212,628,723,349
213,256,310,96
214,801,942,762
215,682,602,587
216,479,724,234
217,622,170,684
218,536,23,158
219,782,722,619
220,607,868,747
221,1007,618,903
222,428,123,846
223,1061,902,488
224,781,98,103
225,728,483,603
226,547,9,671
227,924,279,589
228,579,759,385
229,768,165,395
230,1004,368,801
231,464,310,243
232,611,273,457
233,977,890,948
234,877,162,741
235,1002,315,291
236,1061,732,694
237,613,487,283
238,728,515,649
239,347,774,262
240,935,145,943
241,501,152,42
242,932,45,971
243,824,942,573
244,559,138,244
245,663,308,154
246,843,89,982
247,710,653,951
248,732,378,152
249,357,21,512
250,791,461,639
251,995,991,774
252,539,582,170
253,537,678,991
254,645,473,558
255,837,886,257
256,1145,947,192
257,931,651,441
258,897,79,750
259,1001,520,295
260,1016,455,490
261,832,706,813
262,925,605,947
263,632,300,183
264,1038,584,775
265,483,427,279
266,765,732,742
267,867,142,618
268,206,285,499
269,785,576,610
270,928,895,162
271,653,808,774
272,711,189,435
273,579,788,414
274,482,90,651
275,642,884,225
276,818,691,430
