item_id,value,w1,w2
1,690,826,380
2,491,816,104
3,1182,207,907
4,372,402,237
5,760,914,484
6,498,79,382
7,588,571,209
8,846,325,548
9,775,200,390
10,1086,710,861
11,439,198,499
12,608,822,97
13,682,426,428
14,675,8,715
15,596,965,427
16,673,678,578
17,715,738,497
18,684,639,541
19,366,402,15
20,641,839,255
21,688,305,785
22,735,832,790
23,958,360,608
24,653,723,385
25,1030,84,781
26,992,564,928
27,837,72,739
28,1080,718,895
29,422,304,379
30,671,886,955
31,761,718,890
32,717,610,717
33,590,52,160
34,1093,770,808
35,930,955,272
36,919,494,595
37,709,298,37
38,526,420,21
39,653,209,622
40,636,750,94
41,837,509,706
42,828,436,191
43,726,352,344
44,995,129,977
45,796,42,493
46,487,627,1000
47,683,771,615
48,1154,573,849
49,525,231,656
50,725,182,574
51,766,554,788
52,825,818,339
53,577,820,646
54,951,181,607
55,627,485,345
56,949,360,975
57,526,659,699
58,928,914,669
59,1065,941,464
60,652,258,433
61,550,312,111
62,390,145,269
63,497,250,320
64,576,208,418
65,579,33,633
66,641,645,551
67,992,372,500
68,530,302,507
69,698,757,515
70,608,21,46
71,1108,819,250
72,1043,734,757
73,962,188,921
74,575,912,421
75,809,253,795
76,849,957,130
77,665,618,17
78,784,454,142
79,942,963,822
80,873,384,444
81,552,26,161
82,564,945,25
83,426,426,605
84,406,228,502
85,558,860,483
86,746,168,630
87,780,706,85
88,908,184,54
89,799,359,290
90,1054,122,835
91,716,656,247
92,807,548,463
93,738,125,425
94,616,178,316
95,367,68,632
96,729,318,504
97,477,185,480
98,582,711,902
99,485,793,167
100,988,497,702
101,828,881,534
102,1026,65,961
103,717,944,20
104,724,292,178
105,851,875,693
106,836,371,449
107,832,836,315
108,783,811,179
109,691,873,32
110,659,922,27
111,514,284,467
112,633,407,722
113,742,28,757
114,741,929,1000
115,895,130,90
116,506,142,911
117,855,546,322
118,651,282,707
119,800,846,611
120,887,883,207
121,884,160,120
122,977,533,242
123,823,241,519
124,725,572,898
125,717,141,75
126,636,408,175
127,766,186,551
128,550,366,661
129,428,364,205
130,1087,698,35
131,820,35,482
132,267,320,252
133,916,391,454
134,822,880,191
135,951,529,876
136,576,321,957
137,704,652,804
138,1002,963,314
139,1153,286,769
140,765,690,165
141,672,889,545
142,806,840,1
143,877,718,52
144,853,892,4
145,363,350,10
146,418,53,442
147,694,27,569
148,807,896,847
149,971,662,857
150,613,388,143
151,527,433,28
152,752,561,49
153,765,782,887
154,688,641,315
155,522,113,344
156,998,345,137
157,621,354,555
158,973,492,686
159,553,254,55
160,676,117,146
161,592,706,441
162,595,253,896
163,790,306,357
164,367,202,644
165,718,63,378
166,952,98,919
167,776,149,547
168,703,133,190
169,607,341,864
170,714,298,592
171,629,874,188
172,541,324,240
173,873,568,542
174,556,87,327
175,848,114,865
176,585,197,641
177,885,846,617
178,892,461,831
179,755,797,773
180,687,322,470
181,434,49,297
182,787,117,393
183,588,396,687
184,427,201,461
185,414,152,413
186,281,168,549
187,697,864,187
188,889,844,853
189,894,882,874
190,803,460,73
191,595,88,976
192,610,758,638
193,857,786,946
194,771,712,500
195,806,988,103
196,839,377,480
197,700,569,620
198,785,887,177
199,481,85,312
200,1008,383,540
201,900,743,607
202,671,207,164
203,917,889,4
204,465,239,436
205,836,943,750
206,590,311,494
207,613,487,211
208,786,27,483
209,541,581,330
210,898,986,256
211,355,135,595
212,829,51,820
213,700,673,58
214,770,477,905
215,994,831,29
